,cas_rides_in,cas_rides_out,hour,station,sub_rides_in,sub_rides_out,weekday
366,0,0,19,31309.0,2,2,4
367,0,2,11,31113.0,2,5,3
368,0,0,14,31405.0,1,1,1
369,1,0,6,31255.0,3,1,0
370,1,1,20,31624.0,2,7,6
371,0,5,22,31228.0,4,15,6
372,1,1,1,31263.0,1,1,6
373,0,2,6,31310.0,0,3,3
374,0,0,7,31400.0,0,2,6
375,3,2,17,31103.0,12,17,5
376,9,2,15,31246.0,16,14,0
377,1,1,3,31400.0,0,1,5
378,0,0,9,31119.0,0,2,2
379,4,5,10,31205.0,2,2,6
380,5,13,10,31200.0,23,29,0
381,0,0,0,31627.0,7,2,4
382,2,3,14,31114.0,1,10,3
383,0,0,17,31632.0,3,2,6
384,0,1,6,31250.0,7,3,1
385,0,1,16,31245.0,9,9,0
386,0,0,0,31624.0,3,5,6
387,0,0,11,31019.0,5,1,6
388,0,1,23,31037.0,3,5,3
389,2,2,18,31266.0,22,25,2
390,0,0,23,31019.0,0,2,1
391,1,0,19,31600.0,58,35,1
392,0,0,8,31632.0,0,2,6
393,0,0,13,31402.0,1,3,3
394,0,0,5,31611.0,0,2,3
395,6,5,23,31200.0,17,21,5
396,0,0,21,31041.0,1,2,2
397,1,0,10,31621.0,6,6,4
398,1,1,22,31216.0,0,1,5
399,2,5,10,31304.0,1,4,6
400,0,1,10,31615.0,2,6,0
401,1,0,21,31028.0,2,1,2
402,1,0,19,31619.0,21,12,2
403,0,0,9,31607.0,1,8,1
404,2,1,19,31107.0,19,18,4
405,0,2,21,31013.0,0,2,3
406,2,1,12,31105.0,5,9,0
407,2,0,3,31624.0,0,1,6
408,0,1,7,31113.0,1,35,0
409,4,0,17,31047.0,3,7,1
410,0,1,8,31018.0,2,13,4
411,0,0,18,31629.0,13,8,2
412,6,8,18,31240.0,5,2,4
413,5,5,15,31223.0,30,27,5
414,2,3,20,31219.0,1,5,3
415,1,0,13,31509.0,5,3,3
416,3,0,23,31619.0,14,5,5
417,2,0,20,31116.0,23,14,4
418,20,17,11,31248.0,5,6,2
419,0,0,10,31042.0,3,1,1
420,0,1,5,31110.0,1,4,2
421,1,0,8,31310.0,3,14,3
422,1,0,22,31629.0,6,6,5
423,0,0,11,31707.0,0,1,1
424,0,2,19,31264.0,7,9,2
425,3,0,9,31215.0,20,1,3
426,0,0,11,31064.0,1,1,4
427,3,0,7,31014.0,19,7,4
428,0,1,21,31616.0,18,6,3
429,0,0,19,31020.0,3,3,0
430,0,0,13,32005.0,1,1,6
431,0,0,6,31115.0,0,5,0
432,1,0,20,31632.0,3,3,3
433,2,6,13,31216.0,17,9,3
434,1,2,17,31400.0,21,10,3
435,0,1,10,31255.0,5,4,3
436,0,0,10,31504.0,1,1,2
437,1,7,10,31265.0,9,7,5
438,0,1,18,31007.0,11,23,1
439,0,0,21,31601.0,4,1,0
440,0,1,17,31036.0,11,3,0
441,0,0,6,31622.0,2,13,1
442,12,10,12,31217.0,2,1,5
443,1,2,12,31269.0,3,6,1
444,1,1,18,31616.0,17,17,3
445,1,1,11,31104.0,10,11,3
446,0,2,18,31042.0,1,2,4
447,0,0,17,31405.0,1,2,4
448,12,15,13,31272.0,2,3,5
449,0,0,7,31626.0,1,21,1
450,0,1,14,31512.0,0,1,2
451,2,1,18,31619.0,19,19,6
452,0,0,15,31121.0,1,1,3
453,0,0,15,31255.0,8,11,0
454,0,0,13,31053.0,0,1,4
455,6,7,10,31228.0,17,7,6
456,0,0,0,31602.0,2,4,4
457,0,0,22,31000.0,0,1,2
458,0,0,14,31107.0,4,3,3
459,1,0,16,31600.0,19,17,3
460,1,2,7,31249.0,6,8,4
461,0,0,0,31619.0,7,3,6
462,1,3,18,31005.0,3,3,3
463,5,3,18,31257.0,39,56,2
464,0,0,21,31102.0,10,11,2
465,0,1,20,31045.0,0,1,1
466,0,0,7,31029.0,0,12,3
467,0,0,6,31226.0,8,1,2
468,2,1,22,31225.0,3,3,5
469,0,2,14,31268.0,1,7,3
470,0,0,9,31614.0,1,6,1
471,1,0,19,31112.0,3,1,4
472,0,1,11,31601.0,4,5,6
473,1,1,9,31620.0,21,3,4
474,0,1,21,31020.0,0,2,3
475,2,0,12,31112.0,5,1,0
476,0,1,3,31617.0,0,1,6
477,0,0,17,31038.0,4,6,1
478,4,1,8,31009.0,11,11,4
479,2,2,18,31620.0,19,20,2
480,0,2,18,31251.0,15,25,4
481,16,17,15,31230.0,31,22,5
482,0,0,13,31500.0,1,3,3
483,0,2,20,31107.0,6,19,4
484,1,3,11,31257.0,11,13,2
485,0,0,10,31051.0,0,1,1
486,0,1,8,31303.0,4,21,3
487,0,0,13,31311.0,1,1,4
488,0,1,17,31500.0,3,7,6
489,0,0,7,31023.0,0,3,4
490,0,0,15,31065.0,1,2,6
491,1,0,15,31047.0,4,4,2
492,0,0,5,31218.0,1,1,0
493,1,0,21,31631.0,8,2,3
494,0,0,20,31064.0,0,1,5
495,1,0,1,31110.0,0,1,2
496,0,1,19,31013.0,2,4,0
497,0,0,16,31051.0,3,2,2
498,0,0,8,31628.0,19,12,4
499,1,2,13,31202.0,14,15,0
500,0,0,6,31106.0,6,8,0
501,7,6,13,31215.0,6,4,3
502,0,0,17,31505.0,9,5,4
503,1,1,14,31251.0,10,8,1
504,0,0,17,31049.0,3,1,3
505,1,4,16,31307.0,5,8,5
506,2,3,19,31612.0,10,10,6
507,0,0,5,31035.0,0,1,4
508,0,1,5,31603.0,0,1,6
