,cas_rides_in,cas_rides_out,hour,station,sub_rides_in,sub_rides_out,weekday
468,26,26,00,74,24,59,5
469,4,10,08,135,15,104,2
470,18,7,17,79,162,31,1
471,26,11,14,130,37,40,3
472,22,22,10,98,33,44,3
473,88,65,16,113,159,171,3
474,4,0,01,113,10,5,0
475,25,5,09,80,319,29,3
476,5,6,10,96,35,70,0
477,2,10,00,73,1,12,5
478,2,0,01,95,4,1,2
479,41,52,19,45,56,60,5
480,2,2,18,106,12,1,0
481,2,0,01,144,1,1,3
482,0,1,11,83,4,12,3
483,1,0,17,101,7,9,0
484,2,2,17,100,7,9,5
485,152,106,14,53,133,138,6
486,0,0,02,26,1,1,1
487,6,8,20,19,48,42,3
488,1,0,22,143,1,3,4
489,5,29,08,53,45,248,1
490,13,12,13,7,28,24,2
491,22,14,12,4,61,58,1
492,1,0,14,119,6,8,1
493,11,9,21,79,20,12,6
494,60,20,17,111,700,96,2
495,15,14,21,46,82,58,2
496,0,0,13,109,1,1,1
497,14,25,08,26,142,299,3
498,11,1,08,5,46,30,3
499,2,7,02,53,28,19,3
500,13,18,14,12,36,18,4
501,29,36,10,131,46,35,6
502,6,12,11,95,17,39,0
503,11,21,10,26,51,92,5
504,15,13,17,96,111,79,0
505,12,4,12,110,9,5,0
506,1,1,05,76,5,4,1
507,0,3,23,43,5,11,3
508,5,0,04,69,0,1,5
509,9,6,02,90,19,6,5
510,3,13,19,65,7,31,1
511,34,34,13,114,43,34,1
512,20,26,14,96,45,59,6
513,0,2,04,53,13,1,4
514,69,50,12,74,97,67,3
515,0,0,07,101,0,1,0
516,47,56,13,98,54,34,4
517,7,8,09,12,37,92,0
518,4,11,08,40,15,28,6
519,1,3,10,135,9,22,0
520,0,0,23,110,5,1,1
521,3,3,06,50,65,14,4
522,0,0,20,118,2,1,3
523,13,6,22,40,26,20,4
524,1,3,18,106,1,2,5
525,19,22,14,24,20,8,1
526,26,14,17,4,250,64,2
527,7,4,01,41,4,8,4
528,0,3,09,140,0,17,2
529,2,1,08,129,11,46,3
530,24,35,13,128,101,100,3
531,51,53,14,103,85,95,4
532,7,3,15,136,3,6,3
533,81,70,14,24,33,21,6
534,39,20,22,41,32,18,5
535,2,11,11,135,10,30,6
536,22,58,11,65,10,6,5
537,10,3,11,3,15,21,4
538,5,8,15,132,45,47,2
539,10,7,21,78,35,12,0
540,7,14,23,76,34,31,3
541,4,45,02,49,7,26,5
542,2,1,01,57,1,7,1
543,18,9,08,54,161,97,2
544,6,2,00,10,3,7,2
545,0,0,16,143,8,1,3
546,8,7,14,18,16,18,0
547,11,8,11,137,18,12,4
548,3,0,00,140,9,1,5
549,10,9,22,21,43,38,2
550,10,8,19,18,16,10,4
551,4,4,19,132,27,47,1
552,5,2,14,66,11,13,0
553,46,21,12,70,74,32,0
554,8,49,22,45,35,64,1
555,18,21,00,49,11,16,6
